text_id,labels,type,text
1080962,-1,PERSON,Marsallorente
1081047,0,ORGANIZATION,Barsa
1080928,17,EVENT,Negreira
1080928,17,EVENT,Barza
1080928,17,PERSON,vicepresidente
1080928,17,ORGANIZATION,comité de árbitros
1080928,17,ORGANIZATION,FCB
1081077,-1,PERSON,CTARFEF
1081077,-1,PERSON,NEGREIRA
1081046,-1,PERSON,Negreira
1080886,17,PERSON,RafaRNMJ
1080886,17,PERSON,RichardDees
1081015,0,PERSON,lobo_carrasco
1080895,-1,PERSON,rfef
1080895,-1,PERSON,Negreira
1080895,-1,EVENT,Clásico
1080895,-1,PERSON,vicepresidente
1081010,0,PERSON,barsa
1081038,-1,PERSON,negreira
1080911,26,ORGANIZATION,diarioas
1080873,-1,PERSON,Zz25963988
1080873,-1,PERSON,@pancho_negreira
1080873,-1,PERSON,@SnootPlatoon
1080873,-1,PERSON,@SlumpFred
1080873,-1,PERSON,@GowriNambula
1080873,-1,PERSON,@SanzSulley
1080873,-1,PERSON,@mvzmuse
1080873,-1,PERSON,@ScottBarnett97
1080873,-1,PERSON,Michell15923502
1080873,-1,PERSON,@Timdubs85
1080873,-1,PERSON,@serapis347
1080961,0,ORGANIZATION,Barsa
1080902,-1,PERSON,Messi
1080902,-1,ORGANIZATION,FCrimen
1080902,-1,PERSON,Paolo Maldini
1080902,-1,PERSON,Messi
1081034,0,ORGANIZATION,Barsa
1081034,0,PERSON,Messi
1081034,0,ORGANIZATION,Argentina
1081072,14,ORGANIZATION,Fiscalía
1081072,14,ORGANIZATION,Audiencia Nacional
1081072,14,ORGANIZATION,F.C. Barcelona
1081072,14,PERSON,miguelpr83
1081072,14,ORGANIZATION,libertaddigital
1080905,0,ORGANIZATION,DAZN
1081084,-1,PERSON,Villar
1081084,-1,ORGANIZATION,Gaspart
1081084,-1,ORGANIZATION,RFEF
1081084,-1,ORGANIZATION,Tenerife
1081084,-1,PERSON,Sanchez Arminio
1081084,-1,PERSON,Negreira
1081084,-1,PERSON,Roures
1081029,0,PERSON,Lewa
1081031,-1,PERSON,Negreira
1081031,-1,PERSON,Javier Tebas
1081031,-1,ORGANIZATION,Barça
1081026,0,PERSON,alfredoduro1
1081026,0,ORGANIZATION,cristiano
1081026,0,PERSON,CR7
1080937,20,PERSON,Eduardo Inda
1080937,20,ORGANIZATION,okdiario
1080937,20,ORGANIZATION,FIFA
1080937,20,ORGANIZATION,UEFA
1080937,20,EVENT,champions
1080937,20,ORGANIZATION,UEFA
1081044,-1,PERSON,partidazocope
1081044,-1,ORGANIZATION,Negreira'
1081044,-1,PERSON,Estrada Fernández
1081044,-1,ORGANIZATION,CTA
1081002,0,PERSON,Messi
1081002,0,PERSON,Messi
1081002,0,PERSON,Xavi
1081002,0,PERSON,Iniesta
1081029,0,PERSON,Leo
1081688,-1,PERSON,Negreira
1080930,20,ORGANIZATION,CDSM
1080930,20,PERSON,Negreira
1080925,17,ORGANIZATION,Barcelona
1080925,17,PERSON,Negreira
1080963,20,ORGANIZATION,FIFA
1080963,20,ORGANIZATION,UEFA
1080967,0,PERSON,Alaba
1080926,15,ORGANIZATION,Negreira
1080968,-1,PERSON,Lionel
1080976,8,PERSON,Tinglao
1080976,8,PERSON,#Negreira
1081013,0,PERSON,GUTY14HAZ
1081013,0,PERSON,Guti
1080953,-1,PERSON,shakira
1080953,-1,PERSON,3gerardpique
1081024,0,EVENT,Copa Madrid
1081024,0,ORGANIZATION,Barsa
1081024,0,ORGANIZATION,Madrid
1081024,0,ORGANIZATION,Betis
1081024,0,ORGANIZATION,Madrid
1080932,37,PERSON,jugones
1080932,37,ORGANIZATION,Barsa
1080932,37,PERSON,Pedredol
1080894,-1,PERSON,Maketo
1080894,-1,ORGANIZATION,VARsa
1081075,-1,PERSON,Jr.
1081075,-1,ORGANIZATION,MovistarFutbol
1081075,-1,PERSON,Negreiras
1081075,-1,ORGANIZATION,Barca
1081075,-1,ORGANIZATION,CTARFEF
1081021,12,ORGANIZATION,Negreira Boys
1081878,-1,PERSON,de
1081878,-1,PERSON,David Espinar
1081819,50,PERSON,Ancelotti
1081819,50,PERSON,Negreira’
1081399,0,ORGANIZATION,Madrid
1081399,0,ORGANIZATION,barsa
1081201,0,ORGANIZATION,Barsa
1081201,0,ORGANIZATION,Madrid
1081109,42,ORGANIZATION,FC Barcelona
1081109,42,PERSON,Enríquez
1081109,42,ORGANIZATION,EconomistJurist
1081825,-1,ORGANIZATION,Negreira´s Boy´s
1081988,-1,ORGANIZATION,Wall Street
1081988,-1,PERSON,Laporta
1081988,-1,PERSON,Enríquez Negreira
1081767,20,ORGANIZATION,UEFA
1081767,20,ORGANIZATION,Barsa
1081767,20,EVENT,Champions
1081767,20,PERSON,Tebas
1081767,20,PERSON,Rubiales
1081767,20,ORGANIZATION,Nacional
1081767,20,ORGANIZATION,Barcelona
1081767,20,EVENT,Champions
1081942,-1,PERSON,Negreira
1081942,-1,ORGANIZATION,Barcelona
1081958,-1,PERSON,Negreira Jr
1081625,-1,PERSON,Negreira
1081511,0,PERSON,Barsa
1081511,0,ORGANIZATION,Real
1081511,0,PERSON,Messi
1081251,0,ORGANIZATION,Barsa
1081251,0,ORGANIZATION,Madrid
1081251,0,ORGANIZATION,Madrid
1081251,0,ORGANIZATION,Madrid
1081262,0,ORGANIZATION,Real Madrid
1081262,0,ORGANIZATION,Barsa
1081262,0,ORGANIZATION,REAL
1081433,-1,ORGANIZATION,Movistar
1081433,-1,PERSON,Negreira
1081258,0,PERSON,abde
1081655,-1,PERSON,Negreira
1081655,-1,ORGANIZATION,1ª división española
1081655,-1,ORGANIZATION,fútbol
