text_id,text,type
1081985,negreira,PERSON
1081413,rfef,ORGANIZATION
1081984,negreira,PERSON
1081154,barsa,PERSON
1081897,barsa,ORGANIZATION
1081968,barsa,ORGANIZATION
1081968,pedri,PERSON
1081702,negreira',PERSON
1081318,negreira,PERSON
1081189,medina cantalejo,PERSON
1081280,negreira,PERSON
1081189,negreira,PERSON
1081189,negreira,PERSON
1081271,barsa,ORGANIZATION
1081271,madrid,ORGANIZATION
1081873,barcelona,ORGANIZATION
1081873,negreira,PERSON
1081110,negreira,PERSON
1081110,barça,ORGANIZATION
1081715,barsa,ORGANIZATION
1081763,negreira,PERSON
1081699,negreira,PERSON
1081699,barça,ORGANIZATION
1081473,el barsa,ORGANIZATION
1081865,real madrid,ORGANIZATION
1081865,cta,OTHER
1081865,negreira,PERSON
1081865,madrid,ORGANIZATION
1081707,barsa,ORGANIZATION
1081099,madrid,LOCATION
1081226,negreira,PERSON
1081535,negreira,PERSON
1081989,negreira,PERSON
1081451,negreira,PERSON
1081191,rfef,ORGANIZATION
1081191,ctarfef,ORGANIZATION
1081888,barça,ORGANIZATION
1081836,negreira,PERSON
1081276,negreira,PERSON
1081276,barça,ORGANIZATION
1081333,negreira,PERSON
1081333,barcelona,ORGANIZATION
1081901,negreira,TITLE
1081230,negreira,PERSON
1081746,enríquez negreira,PERSON
1081638,barsa,ORGANIZATION
1081452,negreira,PERSON
1081844,barcelona,LOCATION
1081844,negreira,PERSON
1081146,negreira,PERSON
1081146,barça,ORGANIZATION
1081146,barça,ORGANIZATION
1081372,negreira,PERSON
1081372,barça,ORGANIZATION
1081919,negreira,PERSON
1081887,negreira,PERSON
1081171,barça,ORGANIZATION
1081171,negreira,LOCATION
1081121,negreira,PERSON
1081302,negreira,PERSON
1081302,negreira,PERSON
1081302,barça,ORGANIZATION
1081238,barça,ORGANIZATION
1081339,negreira,PERSON
1081684,el barsa,ORGANIZATION
1081684,real madrid,ORGANIZATION
1081446,barsa,ORGANIZATION
1081446,barsa,ORGANIZATION
1081866,negreira,PERSON
1081457,negreira,PERSON
1081939,barça,ORGANIZATION
1081939,negreira,PERSON
1081150,negreira',PERSON
1081856,barça,ORGANIZATION
1081656,barcelona,ORGANIZATION
1081343,madrid,ORGANIZATION
1081343,barsa,ORGANIZATION
1081836,ancelotti,PERSON
1081238,pedri,PERSON
1081238,negreira,PERSON
1081586,negreira,PERSON
1081893,barsa,ORGANIZATION
1081685,fc barcelona,ORGANIZATION
1081685,negreira,PERSON
1081310,negreira,PERSON
1081310,barça,ORGANIZATION
1081294,negreira,PERSON
1081294,barça,ORGANIZATION
1081818,negreira,PERSON
1081661,negreira,PERSON
1081701,laporta,PERSON
1081701,negreira,PERSON
1081701,barça,ORGANIZATION
1081705,barcelona,ORGANIZATION
1081720,madrid,ORGANIZATION
1081720,barsa,ORGANIZATION
1081986,barça,ORGANIZATION
1081637,barsa,ORGANIZATION
1081678,ancelotti,PERSON
1081863,barcelona,ORGANIZATION
1081863,enríquez negreira,PERSON
1081614,negreira,PERSON
1081559,ctarfef,ORGANIZATION
1081559,enríquez negreira,PERSON
1081970,barsa,TITLE
1081608,negreira,PERSON
1081908,xavi,PERSON
1081908,negreira,PERSON
1081908,barça,ORGANIZATION
1081629,ancelotti,PERSON
1081440,barcelona,ORGANIZATION
1081966,negreira,PERSON
1081895,negreira,PERSON
1081830,enríquez negreira,PERSON
1081830,cta,ORGANIZATION
1081657,negreira,PERSON
1081482,negreira,PERSON
1081482,barça,ORGANIZATION
1081846,barsa,ORGANIZATION
1081846,negreira,PERSON
1081181,madrid,ORGANIZATION
1081815,cta,ORGANIZATION
1081103,negreira,PERSON
1081972,negreira,PERSON
1081418,barsa,ORGANIZATION
1081418,barsa,ORGANIZATION
1081761,negreira,PERSON
1081761,barça,ORGANIZATION
1081390,negreira,PERSON
1081390,barcelona,ORGANIZATION
1081270,negreira,PERSON
1081270,fc barcelona,ORGANIZATION
1081270,negreira,PERSON
1081112,negreira,PERSON
1081545,negreira,PERSON
1081360,negreira,PERSON
1081360,barsa,ORGANIZATION
1081125,negreira,PERSON
1081125,barça,ORGANIZATION
1081778,vini,PERSON
1081672,barsa,LOCATION
1081221,negreira,PERSON
1081221,barça,ORGANIZATION
1081714,negreira,PERSON
1081933,ctarfef,ORGANIZATION
1081933,negreira,PERSON
1081215,madrid,LOCATION
1081875,barsa,PERSON
1081820,negreira,PERSON
1081820,laporta,PERSON
1081214,negreira fc,ORGANIZATION
1081798,negreira,PERSON
1081790,madrid,ORGANIZATION
1081790,barça,ORGANIZATION
1081790,negreira,PERSON
1081790,madrid,ORGANIZATION
1081594,negreira,ORGANIZATION
1081879,barsa,PERSON
1081336,gavi,PERSON
1081245,negreira,PERSON
1081245,barcelona,ORGANIZATION
1081207,negreira,PERSON
1081207,barça,ORGANIZATION
1081354,negreira,PERSON
1081354,barça,ORGANIZATION
1081354,fiscalía,ORGANIZATION
1081773,madrid,ORGANIZATION
1081773,barsa,ORGANIZATION
1081931,negreira,PERSON
1081931,real madrid,ORGANIZATION
1081931,cta,ORGANIZATION
1081784,negreira,PERSON
1081973,negreira,PERSON
1081317,negreira,PERSON
1081537,barça,ORGANIZATION
1081537,negreira,PERSON
1081561,barsa,PERSON
1081561,negreira,PERSON
1081851,barsa,ORGANIZATION
1081845,negreira,PERSON
1081494,barsa,ORGANIZATION
1081957,rfef,ORGANIZATION
1081703,negreira,ORGANIZATION
1081428,negreira,PERSON
1081266,negreira,PERSON
1081675,barsa,ORGANIZATION
1081695,negreira,PERSON
1081962,negreira,PERSON
1081411,madrid,ORGANIZATION
1081411,barsa,ORGANIZATION
1081118,fc barcelona,ORGANIZATION
1081118,enríquez negreira,PERSON
1081944,negreira,PERSON
1081944,barcelona,ORGANIZATION
1081944,estrada fernández,PERSON
1081268,negreira,PERSON
1081268,barcelona,ORGANIZATION
1081677,enríquez negreira,PERSON
1081811,negreira,PERSON
1081811,laporta,PERSON
1081331,negreira,PERSON
1081331,barcelona,ORGANIZATION
1081403,madrid,ORGANIZATION
1081440,negreira,PERSON
1081654,negreira,PERSON
1081244,negreira,PERSON
1081244,barcelona,ORGANIZATION
1081917,negreira,PERSON
1081184,fc barcelona,ORGANIZATION
1081184,negreira,PERSON
1081274,enríquez negreira,PERSON
1081570,madrid,ORGANIZATION
1081467,negreira,PERSON
1081467,fc barcelona,ORGANIZATION
1081756,barça,ORGANIZATION
1081756,negreira,ORGANIZATION
1081733,negreira,PERSON
1081733,rfef,ORGANIZATION
1081579,negreira,PERSON
1081579,barça,ORGANIZATION
1081579,madrid,ORGANIZATION
1081587,negreira,PERSON
1081793,negreira,PERSON
1081479,negreira,PERSON
1081726,barsa,ORGANIZATION
1081726,madrid,ORGANIZATION
1081225,barsa,ORGANIZATION
1081147,vini,PERSON
1081147,araujo,PERSON
1081505,barça,ORGANIZATION
1081235,madrid,ORGANIZATION
1081676,negreira,PERSON
1081762,ctarfef,ORGANIZATION
1081762,negreira,PERSON
1081627,barsa,ORGANIZATION
1081627,negreira,PERSON
1081627,madrid,ORGANIZATION
1081124,barça,ORGANIZATION
1081124,negreira,PERSON
1081124,barcelona,ORGANIZATION
1081206,madrid,LOCATION
1081420,negreira,ORGANIZATION
1081597,negreira,PERSON
1081704,barcelona,ORGANIZATION
1081253,negreira,PERSON
1081253,barça,ORGANIZATION
1081182,negreira,PERSON
1081182,barcelona,ORGANIZATION
1081589,barsa,ORGANIZATION
1081589,rfef,PERSON
1081574,enríquez negreira,PERSON
1081148,real madrid,ORGANIZATION
1081504,barsa,ORGANIZATION
1081504,cta,ORGANIZATION
1081480,barcelona,ORGANIZATION
1081792,negreira,PERSON
1081514,barsa,ORGANIZATION
1081501,negreira,ORGANIZATION
